Tissue,Timepoint,Treatment,Cell_ID,Total_idPerSample,Total_evtsPerSample,Proportion_idPerSample,For_Vlookup,Sample_ID
Lung,6,Hh,CD4+ T-cells,6888,36607,0.188160734,1_1,1
Lung,6,Hh,B-cells,6645,36607,0.18152266,1_1,1
Lung,6,Hh,CD206+ Macrophages,384,36607,0.010489797,1_1,1
Lung,6,Hh,Unknown Myeloid,1672,36607,0.045674325,1_1,1
Lung,6,Hh,Neutrophils,10677,36607,0.291665528,1_1,1
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,995,36607,0.027180594,1_1,1
Lung,6,Hh,Drop,1510,36607,0.041248941,1_1,1
Lung,6,Hh,Ly6C+ NK cells,1190,36607,0.032507444,1_1,1
Lung,6,Hh,moDCs,1260,36607,0.034419647,1_1,1
Lung,6,Hh,Ly6C-CD8+ T-cells,1250,36607,0.034146475,1_1,1
Lung,6,Hh,Ly6C- NK cells,1002,36607,0.027371814,1_1,1
Lung,6,Hh,Ly6C+CD8+ T-cells,2047,36607,0.055918267,1_1,1
Lung,6,Hh,Monocytes,477,36607,0.013030295,1_1,1
Lung,6,Hh,CD64+MHCII- Macrophages,34,36607,0.000928784,1_1,1
Lung,6,Hh,cDC1,240,36607,0.006556123,1_1,1
Lung,6,Hh,cDC2,49,36607,0.001338542,1_1,1
Lung,6,Hh,CD103+CD4+ T-cells,178,36607,0.004862458,1_1,1
Lung,6,Hh,pDCs,109,36607,0.002977573,1_1,1
Lung,6,Hh,Neutrophils,14766,51925,0.28437169,1_2,2
Lung,6,Hh,Ly6C-CD8+ T-cells,1846,51925,0.035551276,1_2,2
Lung,6,Hh,CD4+ T-cells,9988,51925,0.192354357,1_2,2
Lung,6,Hh,Ly6C+CD8+ T-cells,2616,51925,0.050380356,1_2,2
Lung,6,Hh,moDCs,670,51925,0.012903226,1_2,2
Lung,6,Hh,CD206+ Macrophages,582,51925,0.011208474,1_2,2
Lung,6,Hh,B-cells,12175,51925,0.234472797,1_2,2
Lung,6,Hh,CD103+CD4+ T-cells,248,51925,0.004776119,1_2,2
Lung,6,Hh,Drop,1653,51925,0.031834377,1_2,2
Lung,6,Hh,Ly6C+ NK cells,1525,51925,0.029369283,1_2,2
Lung,6,Hh,Monocytes,629,51925,0.012113625,1_2,2
Lung,6,Hh,Ly6C- NK cells,1477,51925,0.028444872,1_2,2
Lung,6,Hh,pDCs,254,51925,0.004891671,1_2,2
Lung,6,Hh,Unknown Myeloid,1891,51925,0.03641791,1_2,2
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1225,51925,0.023591719,1_2,2
Lung,6,Hh,CD64+MHCII- Macrophages,57,51925,0.001097737,1_2,2
Lung,6,Hh,cDC1,280,51925,0.005392393,1_2,2
Lung,6,Hh,cDC2,43,51925,0.000828117,1_2,2
Lung,6,Hh,Ly6C- NK cells,2535,49276,0.051444922,1_3,3
Lung,6,Hh,Neutrophils,6914,49276,0.140311714,1_3,3
Lung,6,Hh,B-cells,9685,49276,0.196545986,1_3,3
Lung,6,Hh,cDC1,280,49276,0.005682279,1_3,3
Lung,6,Hh,Drop,2585,49276,0.052459615,1_3,3
Lung,6,Hh,CD4+ T-cells,11927,49276,0.242044809,1_3,3
Lung,6,Hh,Ly6C+ NK cells,1595,49276,0.032368699,1_3,3
Lung,6,Hh,Ly6C-CD8+ T-cells,2977,49276,0.060414806,1_3,3
Lung,6,Hh,Unknown Myeloid,3364,49276,0.068268528,1_3,3
Lung,6,Hh,Ly6C+CD8+ T-cells,2313,49276,0.046939687,1_3,3
Lung,6,Hh,moDCs,1646,49276,0.033403685,1_3,3
Lung,6,Hh,CD103+CD4+ T-cells,316,49276,0.006412858,1_3,3
Lung,6,Hh,Monocytes,825,49276,0.01674243,1_3,3
Lung,6,Hh,CD206+ Macrophages,588,49276,0.011932787,1_3,3
Lung,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1407,49276,0.028553454,1_3,3
Lung,6,Hh,pDCs,207,49276,0.004200828,1_3,3
Lung,6,Hh,CD64+MHCII- Macrophages,73,49276,0.001481451,1_3,3
Lung,6,Hh,cDC2,39,49276,0.00079146,1_3,3
Lung,6,Pam1ug,CD4+ T-cells,4127,22939,0.17991194,1_4,1
Lung,6,Pam1ug,B-cells,3898,22939,0.169928942,1_4,1
Lung,6,Pam1ug,Unknown Myeloid,671,22939,0.029251493,1_4,1
Lung,6,Pam1ug,Neutrophils,6668,22939,0.290683988,1_4,1
Lung,6,Pam1ug,Monocytes,641,22939,0.027943677,1_4,1
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,2010,22939,0.087623698,1_4,1
Lung,6,Pam1ug,Ly6C+ NK cells,687,22939,0.029948995,1_4,1
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,855,22939,0.037272767,1_4,1
Lung,6,Pam1ug,CD206+ Macrophages,216,22939,0.009416278,1_4,1
Lung,6,Pam1ug,moDCs,345,22939,0.015039888,1_4,1
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,938,22939,0.040891059,1_4,1
Lung,6,Pam1ug,CD103+CD4+ T-cells,92,22939,0.004010637,1_4,1
Lung,6,Pam1ug,Drop,686,22939,0.029905401,1_4,1
Lung,6,Pam1ug,Ly6C- NK cells,839,22939,0.036575265,1_4,1
Lung,6,Pam1ug,cDC1,113,22939,0.004926108,1_4,1
Lung,6,Pam1ug,pDCs,112,22939,0.004882514,1_4,1
Lung,6,Pam1ug,cDC2,11,22939,0.000479533,1_4,1
Lung,6,Pam1ug,CD64+MHCII- Macrophages,30,22939,0.001307816,1_4,1
Lung,6,Pam1ug,Neutrophils,34330,91392,0.375634629,1_5,2
Lung,6,Pam1ug,B-cells,11432,91392,0.125087535,1_5,2
Lung,6,Pam1ug,moDCs,2762,91392,0.030221464,1_5,2
Lung,6,Pam1ug,Ly6C- NK cells,3197,91392,0.03498118,1_5,2
Lung,6,Pam1ug,Unknown Myeloid,4276,91392,0.046787465,1_5,2
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,3278,91392,0.035867472,1_5,2
Lung,6,Pam1ug,Drop,2544,91392,0.027836134,1_5,2
Lung,6,Pam1ug,CD4+ T-cells,14470,91392,0.158328957,1_5,2
Lung,6,Pam1ug,Monocytes,3009,91392,0.032924107,1_5,2
Lung,6,Pam1ug,CD206+ Macrophages,685,91392,0.007495186,1_5,2
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,5061,91392,0.055376838,1_5,2
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,2715,91392,0.029707195,1_5,2
Lung,6,Pam1ug,Ly6C+ NK cells,2447,91392,0.026774772,1_5,2
Lung,6,Pam1ug,cDC1,318,91392,0.003479517,1_5,2
Lung,6,Pam1ug,CD64+MHCII- Macrophages,65,91392,0.000711222,1_5,2
Lung,6,Pam1ug,pDCs,363,91392,0.003971901,1_5,2
Lung,6,Pam1ug,CD103+CD4+ T-cells,367,91392,0.004015669,1_5,2
Lung,6,Pam1ug,cDC2,73,91392,0.000798757,1_5,2
Lung,6,Pam1ug,B-cells,18440,83714,0.220273789,1_6,3
Lung,6,Pam1ug,CD4+ T-cells,19934,83714,0.238120267,1_6,3
Lung,6,Pam1ug,Ly6C+CD8+ T-cells,4248,83714,0.0507442,1_6,3
Lung,6,Pam1ug,Ly6C- NK cells,4403,83714,0.052595743,1_6,3
Lung,6,Pam1ug,Drop,3215,83714,0.038404568,1_6,3
Lung,6,Pam1ug,Ly6C-CD8+ T-cells,3897,83714,0.046551353,1_6,3
Lung,6,Pam1ug,Neutrophils,12904,83714,0.154143871,1_6,3
Lung,6,Pam1ug,Unknown Myeloid,6319,83714,0.075483193,1_6,3
Lung,6,Pam1ug,pDCs,411,83714,0.004909573,1_6,3
Lung,6,Pam1ug,Ly6C+ NK cells,2132,83714,0.025467664,1_6,3
Lung,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,3164,83714,0.037795351,1_6,3
Lung,6,Pam1ug,moDCs,1304,83714,0.015576845,1_6,3
Lung,6,Pam1ug,Monocytes,1868,83714,0.022314069,1_6,3
Lung,6,Pam1ug,cDC1,330,83714,0.003941993,1_6,3
Lung,6,Pam1ug,CD103+CD4+ T-cells,636,83714,0.007597296,1_6,3
Lung,6,Pam1ug,CD206+ Macrophages,318,83714,0.003798648,1_6,3
Lung,6,Pam1ug,cDC2,81,83714,0.00096758,1_6,3
Lung,6,Pam1ug,CD64+MHCII- Macrophages,110,83714,0.001313998,1_6,3
Nasal Tissue,6,Hh,B-cells,11943,26398,0.452420638,1_1,1
Nasal Tissue,6,Hh,Neutrophils,8186,26398,0.31009925,1_1,1
Nasal Tissue,6,Hh,Ly6C- NK cells,868,26398,0.032881279,1_1,1
Nasal Tissue,6,Hh,Ly6C+ NK cells,368,26398,0.01394045,1_1,1
Nasal Tissue,6,Hh,pDCs,283,26398,0.010720509,1_1,1
Nasal Tissue,6,Hh,CD206+ Macrophages,195,26398,0.007386923,1_1,1
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,179,26398,0.006780817,1_1,1
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,1068,26398,0.04045761,1_1,1
Nasal Tissue,6,Hh,Drop,1233,26398,0.046708084,1_1,1
Nasal Tissue,6,Hh,Unknown Myeloid,694,26398,0.02628987,1_1,1
Nasal Tissue,6,Hh,Monocytes,636,26398,0.024092734,1_1,1
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,86,26398,0.003257823,1_1,1
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,83,26398,0.003144178,1_1,1
Nasal Tissue,6,Hh,CD4+ T-cells,412,26398,0.015607243,1_1,1
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,133,26398,0.00503826,1_1,1
Nasal Tissue,6,Hh,cDC1,9,26398,0.000340935,1_1,1
Nasal Tissue,6,Hh,cDC2,20,26398,0.000757633,1_1,1
Nasal Tissue,6,Hh,moDCs,2,26398,7.57633E-05,1_1,1
Nasal Tissue,6,Hh,Neutrophils,3482,17145,0.20309128,1_2,2
Nasal Tissue,6,Hh,B-cells,10002,17145,0.583377078,1_2,2
Nasal Tissue,6,Hh,Drop,866,17145,0.050510353,1_2,2
Nasal Tissue,6,Hh,Monocytes,329,17145,0.019189268,1_2,2
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,608,17145,0.035462234,1_2,2
Nasal Tissue,6,Hh,CD206+ Macrophages,116,17145,0.006765821,1_2,2
Nasal Tissue,6,Hh,Unknown Myeloid,437,17145,0.025488481,1_2,2
Nasal Tissue,6,Hh,Ly6C- NK cells,403,17145,0.023505395,1_2,2
Nasal Tissue,6,Hh,CD4+ T-cells,285,17145,0.016622922,1_2,2
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,68,17145,0.003966171,1_2,2
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,51,17145,0.002974628,1_2,2
Nasal Tissue,6,Hh,Ly6C+ NK cells,179,17145,0.010440362,1_2,2
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,89,17145,0.005191018,1_2,2
Nasal Tissue,6,Hh,pDCs,200,17145,0.011665209,1_2,2
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,22,17145,0.001283173,1_2,2
Nasal Tissue,6,Hh,cDC2,8,17145,0.000466608,1_2,2
Nasal Tissue,6,Hh,B-cells,9447,19633,0.481179647,1_3,3
Nasal Tissue,6,Hh,Neutrophils,5438,19633,0.276982631,1_3,3
Nasal Tissue,6,Hh,Drop,902,19633,0.045943055,1_3,3
Nasal Tissue,6,Hh,Unknown Myeloid,898,19633,0.045739316,1_3,3
Nasal Tissue,6,Hh,Ly6C+CD8+ T-cells,94,19633,0.004787857,1_3,3
Nasal Tissue,6,Hh,Ly6C- NK cells,568,19633,0.028930882,1_3,3
Nasal Tissue,6,Hh,CD206+ Macrophages,242,19633,0.012326186,1_3,3
Nasal Tissue,6,Hh,Ly6C+ NK cells,154,19633,0.007843936,1_3,3
Nasal Tissue,6,Hh,Ly6C(hi)CD64(hi) Monocytes,744,19633,0.03789538,1_3,3
Nasal Tissue,6,Hh,pDCs,295,19633,0.015025722,1_3,3
Nasal Tissue,6,Hh,CD103+CD4+ T-cells,70,19633,0.003565426,1_3,3
Nasal Tissue,6,Hh,Ly6C-CD8+ T-cells,72,19633,0.003667295,1_3,3
Nasal Tissue,6,Hh,CD4+ T-cells,274,19633,0.013956094,1_3,3
Nasal Tissue,6,Hh,cDC2,8,19633,0.000407477,1_3,3
Nasal Tissue,6,Hh,Monocytes,329,19633,0.0167575,1_3,3
Nasal Tissue,6,Hh,CD64+MHCII- Macrophages,85,19633,0.004329445,1_3,3
Nasal Tissue,6,Hh,cDC1,10,19633,0.000509347,1_3,2
Nasal Tissue,6,Hh,moDCs,3,19633,0.000152804,1_3,2
Nasal Tissue,6,Pam1ug,B-cells,14380,46462,0.309500237,1_4,1
Nasal Tissue,6,Pam1ug,Neutrophils,21725,46462,0.467586415,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,3010,46462,0.064784125,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C+CD8+ T-cells,123,46462,0.002647325,1_4,1
Nasal Tissue,6,Pam1ug,Monocytes,1521,46462,0.03273643,1_4,1
Nasal Tissue,6,Pam1ug,Unknown Myeloid,1351,46462,0.029077526,1_4,1
Nasal Tissue,6,Pam1ug,CD206+ Macrophages,281,46462,0.006047953,1_4,1
Nasal Tissue,6,Pam1ug,Drop,1897,46462,0.040829065,1_4,1
Nasal Tissue,6,Pam1ug,CD4+ T-cells,500,46462,0.010761483,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C- NK cells,738,46462,0.015883948,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C-CD8+ T-cells,114,46462,0.002453618,1_4,1
Nasal Tissue,6,Pam1ug,Ly6C+ NK cells,204,46462,0.004390685,1_4,1
Nasal Tissue,6,Pam1ug,pDCs,372,46462,0.008006543,1_4,1
Nasal Tissue,6,Pam1ug,cDC2,35,46462,0.000753304,1_4,1
Nasal Tissue,6,Pam1ug,CD64+MHCII- Macrophages,48,46462,0.001033102,1_4,1
Nasal Tissue,6,Pam1ug,moDCs,6,46462,0.000129138,1_4,1
Nasal Tissue,6,Pam1ug,CD103+CD4+ T-cells,149,46462,0.003206922,1_4,1
Nasal Tissue,6,Pam1ug,cDC1,8,46462,0.000172184,1_4,1
Nasal Tissue,6,Pam1ug,B-cells,9676,20277,0.477190906,1_5,2
Nasal Tissue,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,1294,20277,0.063816146,1_5,2
Nasal Tissue,6,Pam1ug,Drop,1046,20277,0.05158554,1_5,2
Nasal Tissue,6,Pam1ug,Neutrophils,5340,20277,0.263352567,1_5,2
Nasal Tissue,6,Pam1ug,Ly6C+CD8+ T-cells,99,20277,0.004882379,1_5,2
Nasal Tissue,6,Pam1ug,CD4+ T-cells,254,20277,0.012526508,1_5,2
Nasal Tissue,6,Pam1ug,Monocytes,626,20277,0.030872417,1_5,2
Nasal Tissue,6,Pam1ug,Unknown Myeloid,671,20277,0.03309168,1_5,2
Nasal Tissue,6,Pam1ug,Ly6C+ NK cells,156,20277,0.007693446,1_5,2
Nasal Tissue,6,Pam1ug,Ly6C- NK cells,419,20277,0.020663806,1_5,2
Nasal Tissue,6,Pam1ug,pDCs,281,20277,0.013858066,1_5,2
Nasal Tissue,6,Pam1ug,Ly6C-CD8+ T-cells,99,20277,0.004882379,1_5,2
Nasal Tissue,6,Pam1ug,CD206+ Macrophages,210,20277,0.010356562,1_5,2
Nasal Tissue,6,Pam1ug,CD64+MHCII- Macrophages,22,20277,0.001084973,1_5,2
Nasal Tissue,6,Pam1ug,cDC2,9,20277,0.000443853,1_5,2
Nasal Tissue,6,Pam1ug,CD103+CD4+ T-cells,71,20277,0.003501504,1_5,2
Nasal Tissue,6,Pam1ug,cDC1,4,20277,0.000197268,1_5,2
Nasal Tissue,6,Pam1ug,Neutrophils,4274,24637,0.173478914,1_6,3
Nasal Tissue,6,Pam1ug,B-cells,15361,24637,0.62349312,1_6,3
Nasal Tissue,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,779,24637,0.031619109,1_6,3
Nasal Tissue,6,Pam1ug,CD4+ T-cells,224,24637,0.009092016,1_6,3
Nasal Tissue,6,Pam1ug,Drop,991,24637,0.040224053,1_6,3
Nasal Tissue,6,Pam1ug,Monocytes,340,24637,0.013800382,1_6,3
Nasal Tissue,6,Pam1ug,Unknown Myeloid,1292,24637,0.05244145,1_6,3
Nasal Tissue,6,Pam1ug,CD206+ Macrophages,283,24637,0.011486788,1_6,3
Nasal Tissue,6,Pam1ug,pDCs,448,24637,0.018184032,1_6,3
Nasal Tissue,6,Pam1ug,Ly6C- NK cells,332,24637,0.013475667,1_6,3
Nasal Tissue,6,Pam1ug,Ly6C+CD8+ T-cells,81,24637,0.003287738,1_6,3
Nasal Tissue,6,Pam1ug,Ly6C+ NK cells,57,24637,0.002313593,1_6,3
Nasal Tissue,6,Pam1ug,moDCs,10,24637,0.000405894,1_6,2
Nasal Tissue,6,Pam1ug,Ly6C-CD8+ T-cells,68,24637,0.002760076,1_6,3
Nasal Tissue,6,Pam1ug,CD64+MHCII- Macrophages,31,24637,0.00125827,1_6,3
Nasal Tissue,6,Pam1ug,CD103+CD4+ T-cells,57,24637,0.002313593,1_6,3
Nasal Tissue,6,Pam1ug,cDC2,5,24637,0.000202947,1_6,3
Nasal Tissue,6,Pam1ug,cDC1,4,24637,0.000162357,1_6,3
Spleen,6,Hh,CD4+ T-cells,15674,83192,0.188407539,1_1,1
Spleen,6,Hh,Neutrophils,5711,83192,0.068648428,1_1,1
Spleen,6,Hh,B-cells,43589,83192,0.52395663,1_1,1
Spleen,6,Hh,Ly6C+CD8+ T-cells,6570,83192,0.07897394,1_1,1
Spleen,6,Hh,cDC1,270,83192,0.003245504,1_1,1
Spleen,6,Hh,pDCs,706,83192,0.008486393,1_1,1
Spleen,6,Hh,Ly6C-CD8+ T-cells,4330,83192,0.052048274,1_1,1
Spleen,6,Hh,Ly6C+ NK cells,658,83192,0.007909414,1_1,1
Spleen,6,Hh,Ly6C(hi)CD64(hi) Monocytes,444,83192,0.005337052,1_1,1
Spleen,6,Hh,CD103+CD4+ T-cells,378,83192,0.004543706,1_1,1
Spleen,6,Hh,CD206+ Macrophages,1382,83192,0.016612174,1_1,1
Spleen,6,Hh,Ly6C- NK cells,949,83192,0.011407347,1_1,1
Spleen,6,Hh,cDC2,450,83192,0.005409174,1_1,1
Spleen,6,Hh,Monocytes,210,83192,0.002524281,1_1,1
Spleen,6,Hh,Drop,1377,83192,0.016552072,1_1,1
Spleen,6,Hh,Unknown Myeloid,478,83192,0.005745745,1_1,1
Spleen,6,Hh,CD64+MHCII- Macrophages,11,83192,0.000132224,1_1,1
Spleen,6,Hh,moDCs,5,83192,6.01019E-05,1_1,1
Spleen,6,Hh,CD4+ T-cells,13470,63207,0.213109308,1_2,2
Spleen,6,Hh,B-cells,32155,63207,0.508725299,1_2,2
Spleen,6,Hh,Ly6C-CD8+ T-cells,3938,63207,0.062303226,1_2,2
Spleen,6,Hh,Ly6C- NK cells,633,63207,0.010014714,1_2,2
Spleen,6,Hh,Ly6C+CD8+ T-cells,5710,63207,0.090338095,1_2,2
Spleen,6,Hh,Neutrophils,2978,63207,0.047115035,1_2,2
Spleen,6,Hh,CD206+ Macrophages,816,63207,0.012909963,1_2,2
Spleen,6,Hh,cDC2,366,63207,0.005790498,1_2,2
Spleen,6,Hh,Unknown Myeloid,336,63207,0.005315867,1_2,2
Spleen,6,Hh,Drop,849,63207,0.013432057,1_2,2
Spleen,6,Hh,pDCs,480,63207,0.007594096,1_2,2
Spleen,6,Hh,Monocytes,154,63207,0.002436439,1_2,2
Spleen,6,Hh,CD103+CD4+ T-cells,313,63207,0.004951983,1_2,2
Spleen,6,Hh,Ly6C+ NK cells,479,63207,0.007578275,1_2,2
Spleen,6,Hh,cDC1,172,63207,0.002721218,1_2,2
Spleen,6,Hh,Ly6C(hi)CD64(hi) Monocytes,353,63207,0.005584824,1_2,2
Spleen,6,Hh,moDCs,1,63207,1.5821E-05,1_2,2
Spleen,6,Hh,CD64+MHCII- Macrophages,4,63207,6.32841E-05,1_2,2
Spleen,6,Hh,B-cells,44041,84321,0.52230168,1_3,3
Spleen,6,Hh,CD4+ T-cells,18029,84321,0.213813878,1_3,3
Spleen,6,Hh,Ly6C-CD8+ T-cells,7765,84321,0.092088566,1_3,3
Spleen,6,Hh,CD206+ Macrophages,1273,84321,0.01509707,1_3,3
Spleen,6,Hh,Ly6C+CD8+ T-cells,5560,84321,0.065938497,1_3,3
Spleen,6,Hh,Drop,1455,84321,0.017255488,1_3,3
Spleen,6,Hh,Neutrophils,2396,84321,0.028415223,1_3,3
Spleen,6,Hh,CD103+CD4+ T-cells,310,84321,0.003676427,1_3,3
Spleen,6,Hh,cDC2,431,84321,0.005111419,1_3,3
Spleen,6,Hh,pDCs,613,84321,0.007269838,1_3,3
Spleen,6,Hh,Monocytes,173,84321,0.002051683,1_3,3
Spleen,6,Hh,Unknown Myeloid,579,84321,0.006866617,1_3,3
Spleen,6,Hh,Ly6C- NK cells,884,84321,0.010483747,1_3,3
Spleen,6,Hh,Ly6C+ NK cells,344,84321,0.004079648,1_3,3
Spleen,6,Hh,cDC1,198,84321,0.002348169,1_3,3
Spleen,6,Hh,Ly6C(hi)CD64(hi) Monocytes,261,84321,0.003095314,1_3,3
Spleen,6,Hh,CD64+MHCII- Macrophages,6,84321,7.11567E-05,1_3,3
Spleen,6,Hh,moDCs,3,84321,3.55783E-05,1_3,3
Spleen,6,Pam1ug,CD4+ T-cells,16954,79646,0.212866936,1_4,1
Spleen,6,Pam1ug,Neutrophils,4513,79646,0.056663235,1_4,1
Spleen,6,Pam1ug,Ly6C-CD8+ T-cells,5380,79646,0.067548904,1_4,1
Spleen,6,Pam1ug,B-cells,40409,79646,0.507357557,1_4,1
Spleen,6,Pam1ug,Ly6C- NK cells,918,79646,0.011526003,1_4,1
Spleen,6,Pam1ug,Ly6C+CD8+ T-cells,5451,79646,0.068440349,1_4,1
Spleen,6,Pam1ug,Ly6C+ NK cells,396,79646,0.004972001,1_4,1
Spleen,6,Pam1ug,Drop,1503,79646,0.018871004,1_4,1
Spleen,6,Pam1ug,CD103+CD4+ T-cells,307,79646,0.003854556,1_4,1
Spleen,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,633,79646,0.007947668,1_4,1
Spleen,6,Pam1ug,CD206+ Macrophages,1378,79646,0.017301559,1_4,1
Spleen,6,Pam1ug,Monocytes,236,79646,0.002963112,1_4,1
Spleen,6,Pam1ug,cDC1,240,79646,0.003013334,1_4,1
Spleen,6,Pam1ug,cDC2,422,79646,0.005298446,1_4,1
Spleen,6,Pam1ug,Unknown Myeloid,369,79646,0.004633001,1_4,1
Spleen,6,Pam1ug,pDCs,533,79646,0.006692113,1_4,1
Spleen,6,Pam1ug,CD64+MHCII- Macrophages,2,79646,2.51111E-05,1_4,1
Spleen,6,Pam1ug,moDCs,2,79646,2.51111E-05,1_4,1
Spleen,6,Pam1ug,Ly6C+CD8+ T-cells,4869,59745,0.08149636,1_5,2
Spleen,6,Pam1ug,B-cells,29348,59745,0.491221023,1_5,2
Spleen,6,Pam1ug,Neutrophils,3636,59745,0.060858649,1_5,2
Spleen,6,Pam1ug,Ly6C-CD8+ T-cells,4262,59745,0.071336514,1_5,2
Spleen,6,Pam1ug,CD4+ T-cells,12604,59745,0.210963261,1_5,2
Spleen,6,Pam1ug,Drop,1057,59745,0.017691857,1_5,2
Spleen,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,382,59745,0.00639384,1_5,2
Spleen,6,Pam1ug,Ly6C- NK cells,750,59745,0.012553352,1_5,2
Spleen,6,Pam1ug,cDC1,186,59745,0.003113231,1_5,2
Spleen,6,Pam1ug,CD206+ Macrophages,759,59745,0.012703992,1_5,2
Spleen,6,Pam1ug,Monocytes,164,59745,0.002745,1_5,2
Spleen,6,Pam1ug,Ly6C+ NK cells,439,59745,0.007347895,1_5,2
Spleen,6,Pam1ug,pDCs,477,59745,0.007983932,1_5,2
Spleen,6,Pam1ug,Unknown Myeloid,320,59745,0.005356097,1_5,2
Spleen,6,Pam1ug,CD103+CD4+ T-cells,199,59745,0.003330823,1_5,2
Spleen,6,Pam1ug,cDC2,290,59745,0.004853963,1_5,2
Spleen,6,Pam1ug,CD64+MHCII- Macrophages,2,59745,3.34756E-05,1_5,2
Spleen,6,Pam1ug,moDCs,1,59745,1.67378E-05,1_5,2
Spleen,6,Pam1ug,B-cells,41738,80647,0.5175394,1_6,3
Spleen,6,Pam1ug,CD4+ T-cells,16932,80647,0.209952013,1_6,3
Spleen,6,Pam1ug,CD206+ Macrophages,1093,80647,0.013552891,1_6,3
Spleen,6,Pam1ug,Ly6C-CD8+ T-cells,5384,80647,0.066760078,1_6,3
Spleen,6,Pam1ug,Neutrophils,3224,80647,0.039976689,1_6,3
Spleen,6,Pam1ug,Ly6C+CD8+ T-cells,6519,80647,0.080833757,1_6,3
Spleen,6,Pam1ug,Ly6C- NK cells,1029,80647,0.012759309,1_6,3
Spleen,6,Pam1ug,pDCs,714,80647,0.008853398,1_6,3
Spleen,6,Pam1ug,Unknown Myeloid,706,80647,0.0087542,1_6,3
Spleen,6,Pam1ug,Ly6C+ NK cells,444,80647,0.005505474,1_6,3
Spleen,6,Pam1ug,cDC2,428,80647,0.005307079,1_6,3
Spleen,6,Pam1ug,cDC1,229,80647,0.002839535,1_6,3
Spleen,6,Pam1ug,CD103+CD4+ T-cells,330,80647,0.004091907,1_6,3
Spleen,6,Pam1ug,Drop,1407,80647,0.017446402,1_6,3
Spleen,6,Pam1ug,Ly6C(hi)CD64(hi) Monocytes,313,80647,0.003881112,1_6,3
Spleen,6,Pam1ug,Monocytes,146,80647,0.001810359,1_6,3
Spleen,6,Pam1ug,CD64+MHCII- Macrophages,10,80647,0.000123997,1_6,3
Spleen,6,Pam1ug,moDCs,1,80647,1.23997E-05,1_6,3
Lung,6,Saline,B-cells,14628,38404,0.380897823,10_1,1
Lung,6,Saline,Drop,3109,38404,0.080955109,10_1,1
Lung,6,Saline,Ly6C+CD8+ T-cells,2074,38404,0.054004791,10_1,1
Lung,6,Saline,Unknown Myeloid,1826,38404,0.047547131,10_1,1
Lung,6,Saline,Ly6C- NK cells,1983,38404,0.051635246,10_1,1
Lung,6,Saline,Neutrophils,229,38404,0.005962921,10_1,1
Lung,6,Saline,CD4+ T-cells,8719,38404,0.227033642,10_1,1
Lung,6,Saline,Ly6C+ NK cells,1499,38404,0.039032392,10_1,1
Lung,6,Saline,Ly6C-CD8+ T-cells,2016,38404,0.052494532,10_1,1
Lung,6,Saline,CD103+CD4+ T-cells,271,38404,0.007056557,10_1,1
Lung,6,Saline,Ly6C(hi)CD64(hi) Monocytes,555,38404,0.01445162,10_1,1
Lung,6,Saline,CD206+ Macrophages,167,38404,0.004348505,10_1,1
Lung,6,Saline,Monocytes,273,38404,0.007108635,10_1,1
Lung,6,Saline,moDCs,732,38404,0.019060515,10_1,1
Lung,6,Saline,pDCs,167,38404,0.004348505,10_1,1
Lung,6,Saline,cDC1,119,38404,0.003098636,10_1,1
Lung,6,Saline,CD64+MHCII- Macrophages,9,38404,0.000234351,10_1,1
Lung,6,Saline,cDC2,28,38404,0.000729091,10_1,1
Lung,6,Saline,CD4+ T-cells,9429,39873,0.236475811,10_2,2
Lung,6,Saline,moDCs,600,39873,0.015047777,10_2,2
Lung,6,Saline,B-cells,10708,39873,0.268552655,10_2,2
